_id,title,currentPrice,shippingCost,calculateShipping,totalPrice,dateQueried,endDate,location,country,bidCount,listingType,bestOffer,buyItNowAvailable,conditionId,conditionDisplayName,timeLeft
322302032492,PLAYSTATION 4 (MATTE JET BLACK) 1 TB HDD AND CALL OF DUTY BLACK OP3 THREE ,163.5,-1,true,-1,,2016-10-31T22:51:56.000Z,"Lebanon,NJ,USA",US,44,AuctionWithBIN,false,true,3000,Used,"{""milliseconds"":0,""seconds"":50,""minutes"":19,""hours"":15,""days"":0,""months"":0,""years"":0}"
161788484392,PLAYSTATION 4,325,0,false,325,2016-10-31T07:30:25.115Z,2016-10-31T22:26:56.000Z,"Dupont,WA,USA",US,NaN,FixedPrice,false,false,2500,Seller refurbished,"{""milliseconds"":0,""seconds"":48,""minutes"":54,""hours"":14,""days"":0,""months"":0,""years"":0}"
192009910452,SONY PLAYSTATION 4 PS4 CUH-1115A 500GB CONSOLE WHITE $500 - READ,158.94,14.33,false,173.27,2016-10-31T07:30:25.117Z,2016-11-01T01:15:10.000Z,Canada,CA,57,Auction,false,false,3000,Used,"{""milliseconds"":0,""seconds"":2,""minutes"":43,""hours"":17,""days"":0,""months"":0,""years"":0}"
262605263720,RARE 20TH ANNIVERSARY LIMITED EDITION SONY PLAYSTATION 4 NEW SEALED. ,2400,-1,true,-1,,2016-10-31T23:35:50.000Z,"Chino,CA,USA",US,NaN,FixedPrice,false,false,1000,New,"{""milliseconds"":0,""seconds"":42,""minutes"":3,""hours"":16,""days"":0,""months"":0,""years"":0}"
182332647129,SONY PS4 PLAYSTATION 4 500GB CONSOLE WHITE EDITION,341.14,151.62,false,492.76,2016-10-31T07:30:26.833Z,2016-10-31T12:10:16.000Z,Australia,AU,NaN,FixedPrice,true,false,3000,Used,"{""milliseconds"":0,""seconds"":6,""minutes"":38,""hours"":4,""days"":0,""months"":0,""years"":0}"
172386178285,SONY PLAYSTATION 4 UNCHARTED: THE NATHAN DRAKE COLLECTION,40,-1,true,-1,,2016-11-01T00:33:01.000Z,"Yakima,WA,USA",US,NaN,FixedPrice,false,false,1000,New,"{""milliseconds"":0,""seconds"":48,""minutes"":0,""hours"":17,""days"":0,""months"":0,""years"":0}"
182299326247,BOBA FETT CUSTOM REMOVABLE PLAYSTATION 4 LIGHTBAR DECAL ,4,0,false,4,2016-10-31T07:30:29.594Z,2016-10-31T16:24:42.000Z,"Union,NJ,USA",US,NaN,StoreInventory,false,false,1000,New,"{""milliseconds"":0,""seconds"":29,""minutes"":52,""hours"":8,""days"":0,""months"":0,""years"":0}"
252565475021,CUSTOM SUBARU STI VINYL REMOVABLE PLAYSTATION 4 LIGHTBAR DECAL,4,0,false,4,2016-10-31T07:30:33.417Z,2016-10-31T16:24:40.000Z,"Union,NJ,USA",US,NaN,StoreInventory,false,false,1000,New,"{""milliseconds"":0,""seconds"":24,""minutes"":52,""hours"":8,""days"":0,""months"":0,""years"":0}"
222267882949,DESTINY TRIALS OF OSIRIS GUARANTEED FLAWLESS HALLOWEEN SPECIAL (PLAYSTATION 4),34.99,0,false,34.99,2016-10-31T07:30:33.418Z,2016-10-31T17:13:00.000Z,"National City,CA,USA",US,NaN,FixedPrice,true,false,1000,Brand New,"{""milliseconds"":0,""seconds"":44,""minutes"":40,""hours"":9,""days"":0,""months"":0,""years"":0}"
282234203053,PLAYSTATION 4 VR CORE HEADSET PS4 PSVR ,419.99,-1,true,-1,,2016-10-31T22:13:47.000Z,"San Francisco,CA,USA",US,0,Auction,false,false,1500,New other (see details),"{""milliseconds"":0,""seconds"":31,""minutes"":41,""hours"":14,""days"":0,""months"":0,""years"":0}"
182299326229,BMW STYLE 1 CUSTOM REMOVABLE PLAYSTATION 4 LIGHTBAR DECAL ,4,0,false,4,2016-10-31T07:30:33.422Z,2016-10-31T16:24:39.000Z,"Union,NJ,USA",US,NaN,StoreInventory,false,false,1000,New,"{""milliseconds"":0,""seconds"":23,""minutes"":52,""hours"":8,""days"":0,""months"":0,""years"":0}"
252565474935,CUSTOM KANSAS CITY ROYALS MLB VINYL REMOVABLE PLAYSTATION 4 LIGHTBAR DECAL,4,0,false,4,2016-10-31T07:30:33.425Z,2016-10-31T16:24:38.000Z,"Union,NJ,USA",US,NaN,StoreInventory,false,false,1000,New,"{""milliseconds"":0,""seconds"":22,""minutes"":52,""hours"":8,""days"":0,""months"":0,""years"":0}"
182299326184,2 CLEVELAND CAVALIERS NBA CUSTOM VINYL REMOVABLE PLAYSTATION 4 LIGHTBAR DECALS,6,0,false,6,2016-10-31T07:30:33.427Z,2016-10-31T16:24:38.000Z,"Union,NJ,USA",US,NaN,StoreInventory,false,false,1000,New,"{""milliseconds"":0,""seconds"":22,""minutes"":52,""hours"":8,""days"":0,""months"":0,""years"":0}"
252565474948,BALTIMORE RAVENS NFL FOOTBALL CUSTOM REMOVABLE PLAYSTATION 4 LIGHTBAR DECAL,4,0,false,4,2016-10-31T07:30:35.164Z,2016-10-31T16:24:38.000Z,"Union,NJ,USA",US,NaN,StoreInventory,false,false,1000,New,"{""milliseconds"":0,""seconds"":20,""minutes"":52,""hours"":8,""days"":0,""months"":0,""years"":0}"
381828573173,AXIS 41304 PLAYSTATION4/MICRO USB CHARGING CABLE - 10FT,9.13,0,false,9.13,2016-10-31T07:30:35.167Z,2016-11-01T06:13:07.000Z,"Bedford,TX,USA",US,NaN,FixedPrice,false,false,1000,New,"{""milliseconds"":0,""seconds"":49,""minutes"":40,""hours"":22,""days"":0,""months"":0,""years"":0}"
